🚀 Loading Fuel... (data/scraped_articles_backup.csv)
🔎 Preflight dave positive_rate=0.860 (sample=500)
🔎 Preflight sarah positive_rate=0.892 (sample=500)
🔎 Preflight gamer positive_rate=0.212 (sample=500)
🔎 Preflight investor positive_rate=0.812 (sample=500)
🔎 Preflight low_mood_audit positive_rate=0.938 (sample=500)
🔎 Preflight ai_doom positive_rate=0.290 (sample=500)
🔎 Preflight contrarian_chaos phase2_positive_rate=0.648 (sample=500)

🧠 Training on 16347 items | topics=4501 vibes=7 clusters=64 entities=19 events=14 | steps=400 | bot=multi
[Step 352] user:dave  loss: 2.453 grad:13.113 pred: 2.366 reward:  5.98 eps:0.12 exploit regret:    - hn:0.746 hc:0.91 | source_cleveland_clinic_health_essentials | Analytical Deep Dive | Why Social Media Challenges Involving Medicati
[Step 353] user:contrarian_chaos loss: 1.402 grad: 8.879 pred: 2.228 reward:  7.91 eps:0.12 exploit regret:    - hn:0.726 hc:0.90 | source_mit_news | Analytical Deep Dive | Study: Automation drives income inequality - M
[Step 354] user:low_mood_audit loss: 6.826 grad:25.818 pred: 2.279 reward: 10.00 eps:0.12 exploit regret:    - hn:0.734 hc:0.91 | simplilearn.com | Analytical Deep Dive | 20 Emerging Cybersecurity Trends to Watch Out 
[Step 355] user:low_mood_audit loss: 6.282 grad:23.208 pred: 2.327 reward: 10.00 eps:0.12 exploit regret:    - hn:0.741 hc:0.91 | source_minnesota_women_s_press | Analytical Deep Dive | Major Public Safety and Gun Legislation Bills 
[Step 356] user:investor loss: 1.864 grad: 9.484 pred: 2.313 reward:  7.06 eps:0.12 exploit regret:    - hn:0.740 hc:0.91 | gov.uk | Analytical Deep Dive | Human case of avian flu detected in UK - GOV.U
[Step 357] user:ai_doom loss: 4.749 grad:14.891 pred: 2.295 reward: 10.00 eps:0.35 exploit regret:    - hn:0.737 hc:0.91 | source_minnesota_women_s_press | Analytical Deep Dive | Major Public Safety and Gun Legislation Bills 
[Step 358] user:sarah loss: 1.545 grad: 9.423 pred: 2.126 reward:  7.62 eps:0.12 exploit regret:    - hn:0.711 hc:0.89 | source_the_business_journals | Analytical Deep Dive | The National Observer: Number of international
[Step 359] user:ai_doom loss:11.801 grad:33.617 pred: 2.184 reward: 10.00 eps:0.12 exploit regret:    - hn:0.720 hc:0.90 | source_times_of_india | Analytical Deep Dive | Why PSLV-C39 failed: An explosion that didn’t 
[Step 360] user:dave  loss: 2.253 grad:10.969 pred: 2.197 reward:  6.57 eps:0.11 exploit regret: 3.43 hn:0.722 hc:0.90 | source_minnesota_women_s_press | Analytical Deep Dive | Major Public Safety and Gun Legislation Bills 
[Step 361] user:gamer loss: 5.671 grad:17.755 pred: 2.170 reward: -5.01 eps:0.35 exploit regret:    - hn:0.718 hc:0.90 | source_nature | Analytical Deep Dive | EasyHypergraph: an open-source software for fa
[Step 362] user:contrarian_chaos loss: 1.893 grad: 7.964 pred: 2.195 reward:  7.94 eps:0.11 exploit regret:    - hn:0.000 hc:0.00 | source_the_business_journals | Analytical Deep Dive | The National Observer: Number of international
[Step 363] user:sarah loss: 2.393 grad: 5.895 pred: 2.272 reward:  7.65 eps:0.11 exploit regret:    - hn:0.733 hc:0.91 | source_taipei_times | Analytical Deep Dive | Book review: A deep dive into the past, presen
[Step 364] user:ai_doom loss: 4.896 grad:10.256 pred: 2.173 reward: -4.57 eps:0.11 exploit regret:    - hn:0.719 hc:0.90 | source_economic_research_service_gov | Analytical Deep Dive | Poultry Expected To Continue Leading Global Me
[Step 365] user:dave  loss: 2.695 grad: 6.234 pred: 2.221 reward:  7.18 eps:0.11 exploit regret:    - hn:0.725 hc:0.90 | source_modern_war_institute | Analytical Deep Dive | Tanking Up: Understanding the Materiel—and Mor
[Step 366] user:ai_doom loss: 3.988 grad: 6.675 pred: 2.230 reward: 10.00 eps:0.11 exploit regret:    - hn:0.727 hc:0.90 | source_university_of_waikato | Analytical Deep Dive | The origin story of the Anzac biscuit is large
[Step 367] user:investor loss: 2.336 grad: 5.626 pred: 2.098 reward:  7.39 eps:0.11 explore regret:    - hn:0.706 hc:0.89 | source_modern_war_institute | Analytical Deep Dive | Tanking Up: Understanding the Materiel—and Mor
[Step 368] user:contrarian_chaos loss: 5.081 grad: 9.131 pred: 2.126 reward: 10.00 eps:0.11 exploit regret:    - hn:0.711 hc:0.89 | source_minnesota_women_s_press | Analytical Deep Dive | Major Public Safety and Gun Legislation Bills 
[Step 369] user:ai_doom loss: 4.389 grad: 8.121 pred: 1.920 reward: -5.08 eps:0.11 exploit regret:    - hn:0.676 hc:0.87 | source_civicscience | Analytical Deep Dive | 3 Things To Know: Increased Health and Wellnes
[Step 370] user:dave  loss: 2.527 grad: 5.405 pred: 2.062 reward:  5.28 eps:0.11 exploit regret: 4.72 hn:0.701 hc:0.89 | source_city_journal | Analytical Deep Dive | A GOP-Teamsters Alliance Makes No Sense - City
[Step 371] user:contrarian_chaos loss: 4.007 grad: 6.180 pred: 2.002 reward: 10.00 eps:0.11 explore regret:    - hn:0.690 hc:0.88 | source_mayer_brown | Analytical Deep Dive | Cross-Border Tech Deals: Safeguarding Innovati
[Step 372] user:ai_doom loss: 2.605 grad: 5.354 pred: 1.926 reward:  7.23 eps:0.11 exploit regret:    - hn:0.677 hc:0.87 | source_energetica_india_magazine | Analytical Deep Dive | India Accelerator Launches 'Circular Economy' 
[Step 373] user:gamer loss: 2.782 grad: 5.795 pred: 1.829 reward:  7.86 eps:0.35 explore regret:    - hn:0.658 hc:0.86 | source_minnesota_women_s_press | Analytical Deep Dive | Major Public Safety and Gun Legislation Bills 
[Step 374] user:ai_doom loss: 4.295 grad: 6.807 pred: 1.986 reward: -4.62 eps:0.11 exploit regret:    - hn:0.687 hc:0.88 | source_entrackr | Analytical Deep Dive | Funding and acquisitions in Indian startup thi
[Step 375] user:sarah loss: 2.587 grad: 5.995 pred: 1.818 reward:  7.20 eps:0.11 exploit regret:    - hn:0.656 hc:0.86 | source_minnesota_women_s_press | Analytical Deep Dive | Major Public Safety and Gun Legislation Bills 
[Step 376] user:contrarian_chaos loss: 2.610 grad: 5.146 pred: 2.111 reward:  7.12 eps:0.11 exploit regret:    - hn:0.709 hc:0.89 | source_the_courier_mail | Analytical Deep Dive | Haunted horrors: Inside Brisbane’s most infamo
[Step 377] user:sarah loss: 4.526 grad:12.520 pred: 1.711 reward: -5.31 eps:0.11 exploit regret:    - hn:0.635 hc:0.85 | source_mayer_brown | Analytical Deep Dive | Cross-Border Tech Deals: Safeguarding Innovati
[Step 378] user:sarah loss: 2.454 grad: 6.890 pred: 1.773 reward:  7.86 eps:0.11 exploit regret:    - hn:0.648 hc:0.85 | source_abdul_latif_jameel | Analytical Deep Dive | Abdul Latif Jameel Motors announces conclusion
[Step 379] user:low_mood_audit loss: 2.390 grad: 8.927 pred: 1.694 reward:  7.56 eps:0.11 exploit regret:    - hn:0.631 hc:0.84 | source_university_of_waikato | Analytical Deep Dive | The origin story of the Anzac biscuit is large
[Step 380] user:sarah loss: 1.996 grad: 9.216 pred: 1.736 reward:  7.07 eps:0.11 exploit regret: 2.93 hn:0.640 hc:0.85 | source_brand_spur | Analytical Deep Dive | FoodCo Sees January Spending Shift As Nigerian
[Step 381] user:dave  loss: 1.788 grad: 7.048 pred: 1.840 reward:  5.01 eps:0.11 explore regret:    - hn:0.661 hc:0.86 | source_frontiers | Analytical Deep Dive | The effects of COVID-19 on Central Florida’s c
[Step 382] user:gamer loss: 5.035 grad:14.429 pred: 1.832 reward: -5.23 eps:0.35 explore regret:    - hn:0.659 hc:0.86 | source_world_bank | Analytical Deep Dive | Managing solid waste during COVID-19, and in a
[Step 383] user:ai_doom loss: 4.785 grad:13.662 pred: 1.813 reward: -4.89 eps:0.11 exploit regret:    - hn:0.655 hc:0.86 | source_world_bank | Analytical Deep Dive | Managing solid waste during COVID-19, and in a
[Step 384] user:dave  loss: 1.889 grad:14.219 pred: 1.661 reward:  4.37 eps:0.11 exploit regret:    - hn:0.624 hc:0.84 | source_university_of_waikato | Analytical Deep Dive | The origin story of the Anzac biscuit is large
[Step 385] user:investor loss: 1.490 grad:11.982 pred: 1.664 reward:  7.05 eps:0.11 explore regret:    - hn:0.625 hc:0.84 | source_mit_news | Analytical Deep Dive | Study: Automation drives income inequality - M
[Step 386] user:investor loss: 2.092 grad:10.518 pred: 1.730 reward:  7.90 eps:0.11 exploit regret:    - hn:0.638 hc:0.85 | source_minnesota_women_s_press | Analytical Deep Dive | Major Public Safety and Gun Legislation Bills 
[Step 387] user:low_mood_audit loss: 2.311 grad:13.940 pred: 1.692 reward:  7.49 eps:0.10 exploit regret:    - hn:0.631 hc:0.84 | source_abdul_latif_jameel | Analytical Deep Dive | Abdul Latif Jameel Motors announces conclusion
[Step 388] user:gamer loss: 5.564 grad:25.578 pred: 1.691 reward: -4.94 eps:0.35 exploit regret:    - hn:0.631 hc:0.84 | source_university_of_waikato | Analytical Deep Dive | The origin story of the Anzac biscuit is large
[Step 389] user:sarah loss: 1.241 grad: 9.004 pred: 1.718 reward:  7.04 eps:0.10 exploit regret:    - hn:0.636 hc:0.85 | source_denver_gazette | Analytical Deep Dive | Colorado city ranked among best places for ‘ur
[Step 390] user:investor loss: 2.244 grad:12.779 pred: 1.718 reward:  7.58 eps:0.10 explore regret: 2.42 hn:0.637 hc:0.85 | source_webpronews | Analytical Deep Dive | Claude Code: Anthropic’s AI Revolutionizes Dev
[Step 391] user:low_mood_audit loss: 2.335 grad:11.660 pred: 1.749 reward:  7.39 eps:0.10 exploit regret:    - hn:0.643 hc:0.85 | source_mit_news | Analytical Deep Dive | Study: Automation drives income inequality - M
[Step 392] user:ai_doom loss: 5.730 grad:27.329 pred: 1.771 reward: -5.26 eps:0.10 exploit regret:    - hn:0.647 hc:0.85 | source_mit_news | Analytical Deep Dive | Study: Automation drives income inequality - M
[Step 393] user:ai_doom loss: 5.191 grad:23.937 pred: 1.755 reward: -4.91 eps:0.35 explore regret:    - hn:0.644 hc:0.85 | source_the_business_journals | Analytical Deep Dive | Sam Fox is expanding Phoenix Culinary Dropout,
[Step 394] user:low_mood_audit loss: 1.936 grad:16.111 pred: 1.747 reward:  7.44 eps:0.10 exploit regret:    - hn:0.000 hc:0.00 | source_modern_war_institute | Analytical Deep Dive | Tanking Up: Understanding the Materiel—and Mor
[Step 395] user:investor loss: 2.847 grad:21.930 pred: 1.759 reward:  7.67 eps:0.10 exploit regret:    - hn:0.645 hc:0.85 | source_denver_gazette | Analytical Deep Dive | Colorado city ranked among best places for ‘ur
[Step 396] user:investor loss: 2.464 grad:13.461 pred: 1.730 reward:  7.92 eps:0.10 exploit regret:    - hn:0.639 hc:0.85 | source_university_of_waikato | Analytical Deep Dive | The origin story of the Anzac biscuit is large
[Step 397] user:investor loss: 2.128 grad:15.716 pred: 1.753 reward:  7.44 eps:0.10 explore regret:    - hn:0.644 hc:0.85 | source_iran_focus | Analytical Deep Dive | All About Hyperinflation in Iran - Iran Focus
[Step 398] user:ai_doom loss: 4.308 grad:12.045 pred: 1.776 reward: -4.90 eps:0.35 explore regret:    - hn:0.648 hc:0.86 | source_fox_business | Analytical Deep Dive | NYC luxury buyers reportedly flooding Miami Be
[Step 399] user:sarah loss: 5.312 grad:17.432 pred: 1.767 reward: 10.00 eps:0.10 exploit regret:    - hn:0.000 hc:0.00 | source_webpronews | Analytical Deep Dive | Claude Code: Anthropic’s AI Revolutionizes Dev
[Step 400] user:dave  loss: 1.774 grad: 7.948 pred: 1.762 reward:  5.41 eps:0.10 exploit regret: 4.59 hn:0.645 hc:0.85 | source_abdul_latif_jameel | Analytical Deep Dive | Abdul Latif Jameel Motors announces conclusion
  └─ checkpoint step=400 rolling_reward_50=4.65 mean_regret_so_far=7.06

🏁 Final Reward(10): 3.82 | Mean Regret: 7.06
👥 Per-user summary:
  dave: interactions=46 final_reward_10=5.67 mean_regret=3.20
  sarah: interactions=52 final_reward_10=6.68 mean_regret=5.80
  gamer: interactions=42 final_reward_10=-3.83 mean_regret=15.10
  investor: interactions=58 final_reward_10=6.26 mean_regret=3.83
  low_mood_audit: interactions=63 final_reward_10=8.25 mean_regret=2.03
  ai_doom: interactions=70 final_reward_10=-0.70 mean_regret=13.17
  contrarian_chaos: interactions=69 final_reward_10=8.55 mean_regret=4.31
🔬 User-state cluster by session phase:
  cluster_0: {'early': 119, 'mid': 131, 'late': 20}
  cluster_1: {'late': 64}
  cluster_2: {'early': 14, 'mid': 2, 'late': 50}
💾 Warm-start checkpoint saved to: outputs/base_multi_16k_anchor.pt
